2020-07-26 14:28:42.083 [reactor-http-nio-2] INFO  com.boss.springcloud.filter.ResponseRecordFilter - hi: samuel 配置中心的name:samuel, 年龄为:22
2020-07-26 22:47:17.304 [reactor-http-nio-2] INFO  com.boss.springcloud.filter.ResponseRecordFilter - {"msg":"samuel该用户所拥有的菜单:","code":1,"samuel该用户所拥有的菜单:":{"查看主页":{"authorityId":2,"menuId":3,"menuName":"查看主页","menuUrl":"127.0.0.1:9001/rbac-service/user/gethistory"},"历史记录":{"authorityId":2,"menuId":2,"menuName":"历史记录","menuUrl":"127.0.0.1:9001/rbac-service/user/gethistory"}}}
2020-07-26 22:47:25.628 [reactor-http-nio-2] INFO  com.boss.springcloud.filter.ResponseRecordFilter - UserDTO(userName=samuel, userPassword=202cb962ac59075b964b07152d234b70, userAge=22, userPhone=15200000000, roleName=普通用户, createTime=Sun Jul 26 17:18:15 CST 2020, authorityId=2, status=1)
2020-07-26 22:47:48.811 [reactor-http-nio-2] INFO  com.boss.springcloud.filter.ResponseRecordFilter - {"msg":"退出登录","code":3}
2020-07-26 22:47:56.370 [reactor-http-nio-2] INFO  com.boss.springcloud.filter.ResponseRecordFilter - UserDTO(userName=samuel, userPassword=202cb962ac59075b964b07152d234b70, userAge=22, userPhone=15200000000, roleName=普通用户, createTime=Sun Jul 26 17:18:15 CST 2020, authorityId=2, status=1)
2020-07-26 22:48:29.393 [reactor-http-nio-2] INFO  com.boss.springcloud.filter.ResponseRecordFilter - UserDTO(userName=samuel, userPassword=202cb962ac59075b964b07152d234b70, userAge=22, userPhone=15200000000, roleName=普通用户, createTime=Sun Jul 26 17:18:15 CST 2020, authorityId=2, status=1)
2020-07-26 22:48:34.410 [reactor-http-nio-2] INFO  com.boss.springcloud.filter.ResponseRecordFilter - {"msg":"退出登录","code":3}
2020-07-26 22:48:35.858 [reactor-http-nio-2] INFO  com.boss.springcloud.filter.ResponseRecordFilter - {"msg":"退出登录","code":3}
2020-07-26 22:48:36.613 [reactor-http-nio-2] INFO  com.boss.springcloud.filter.ResponseRecordFilter - {"msg":"退出登录","code":3}
2020-07-26 22:48:50.046 [reactor-http-nio-2] INFO  com.boss.springcloud.filter.ResponseRecordFilter - UserDTO(userName=samuel, userPassword=202cb962ac59075b964b07152d234b70, userAge=22, userPhone=15200000000, roleName=普通用户, createTime=Sun Jul 26 17:18:15 CST 2020, authorityId=2, status=1)
2020-07-26 22:51:32.211 [reactor-http-nio-2] INFO  com.boss.springcloud.filter.ResponseRecordFilter - {"msg":"您还未登录，请先登录。","code":0,"url":"/user/login"}
2020-07-26 22:52:02.782 [reactor-http-nio-2] INFO  com.boss.springcloud.filter.ResponseRecordFilter - {"msg":"您还未登录，请先登录。","code":0,"url":"/user/login"}
2020-07-26 22:52:10.581 [reactor-http-nio-2] INFO  com.boss.springcloud.filter.ResponseRecordFilter - {"msg":"samuel该用户所拥有的菜单:","code":1,"samuel该用户所拥有的菜单:":{"查看主页":{"authorityId":2,"menuId":3,"menuName":"查看主页","menuUrl":"127.0.0.1:9001/rbac-service/user/gethistory"},"历史记录":{"authorityId":2,"menuId":2,"menuName":"历史记录","menuUrl":"127.0.0.1:9001/rbac-service/user/gethistory"}}}
2020-07-26 22:52:22.847 [reactor-http-nio-2] INFO  com.boss.springcloud.filter.ResponseRecordFilter - {"msg":"退出失败","code":3}
2020-07-26 22:57:26.144 [reactor-http-nio-2] INFO  com.boss.springcloud.filter.ResponseRecordFilter - {"msg":"您还未登录，请先登录。","code":0,"url":"/user/login"}
2020-07-26 22:57:32.050 [reactor-http-nio-2] INFO  com.boss.springcloud.filter.ResponseRecordFilter - {"msg":"您还未登录，请先登录。","code":0,"url":"/user/login"}
2020-07-26 22:57:39.628 [reactor-http-nio-2] INFO  com.boss.springcloud.filter.ResponseRecordFilter - {"msg":"samuel该用户所拥有的菜单:","code":1,"samuel该用户所拥有的菜单:":{"查看主页":{"authorityId":2,"menuId":3,"menuName":"查看主页","menuUrl":"127.0.0.1:9001/rbac-service/user/gethistory"},"历史记录":{"authorityId":2,"menuId":2,"menuName":"历史记录","menuUrl":"127.0.0.1:9001/rbac-service/user/gethistory"}}}
2020-07-26 22:57:49.251 [reactor-http-nio-2] INFO  com.boss.springcloud.filter.ResponseRecordFilter - UserDTO(userName=samuel, userPassword=202cb962ac59075b964b07152d234b70, userAge=22, userPhone=15200000000, roleName=普通用户, createTime=Sun Jul 26 17:18:15 CST 2020, authorityId=2, status=1)
2020-07-26 22:57:56.231 [reactor-http-nio-2] INFO  com.boss.springcloud.filter.ResponseRecordFilter - {"msg":"退出登录","code":3}
2020-07-26 22:58:04.148 [reactor-http-nio-2] INFO  com.boss.springcloud.filter.ResponseRecordFilter - {"msg":"您还未登录，请先登录。","code":0,"url":"/user/login"}
2020-07-26 22:58:11.109 [reactor-http-nio-2] INFO  com.boss.springcloud.filter.ResponseRecordFilter - {"msg":"您还未登录，请先登录。","code":0,"url":"/user/login"}
2020-07-26 22:59:53.558 [reactor-http-nio-2] INFO  com.boss.springcloud.filter.ResponseRecordFilter - {"msg":"samuel该用户所拥有的菜单:","code":1,"samuel该用户所拥有的菜单:":{"查看主页":{"authorityId":2,"menuId":3,"menuName":"查看主页","menuUrl":"127.0.0.1:9001/rbac-service/user/gethistory"},"历史记录":{"authorityId":2,"menuId":2,"menuName":"历史记录","menuUrl":"127.0.0.1:9001/rbac-service/user/gethistory"}}}
2020-07-26 23:00:09.141 [reactor-http-nio-2] INFO  com.boss.springcloud.filter.ResponseRecordFilter - {"msg":"退出登录","code":3}
2020-07-26 23:00:17.419 [reactor-http-nio-2] INFO  com.boss.springcloud.filter.ResponseRecordFilter - {"msg":"您还未登录，请先登录。","code":0,"url":"/user/login"}
2020-07-26 23:01:03.495 [reactor-http-nio-2] INFO  com.boss.springcloud.filter.ResponseRecordFilter - {"msg":"samuel该用户所拥有的菜单:","code":1,"samuel该用户所拥有的菜单:":{"查看主页":{"authorityId":2,"menuId":3,"menuName":"查看主页","menuUrl":"127.0.0.1:9001/rbac-service/user/gethistory"},"历史记录":{"authorityId":2,"menuId":2,"menuName":"历史记录","menuUrl":"127.0.0.1:9001/rbac-service/user/gethistory"}}}
2020-07-26 23:03:04.452 [reactor-http-nio-2] INFO  com.boss.springcloud.filter.ResponseRecordFilter - {"msg":"samuel该用户所拥有的菜单:","code":1,"samuel该用户所拥有的菜单:":{"查看主页":{"authorityId":2,"menuId":3,"menuName":"查看主页","menuUrl":"127.0.0.1:9001/rbac-service/user/getUser"},"历史记录":{"authorityId":2,"menuId":2,"menuName":"历史记录","menuUrl":"127.0.0.1:9001/rbac-service/user/getHistory"}}}
